language.1,count
English,5836
French,607
Japanese,549
Spanish,361
Hindi,343
Korean,285
Portuguese,216
German,215
Turkish,152
Italian,151
Chinese,126
Tamil,76
Russian,64
Danish,60
Cantonese,60
Malayalam,60
Persian (Farsi),54
Tagalog,52
Swedish,49
Arabic,48
Thai,48
Indonesian,47
Norwegian,47
Dutch,44
Polish,28
Hebrew (modern),21
Romanian,20
Finnish,18
Greek (modern),18
Icelandic,16
Serbian,16
Hungarian,14
Telugu,14
Czech,7
Estonian,6
Georgian,5
Catalan,5
Ukrainian,3
Basque,3
Vietnamese,3
Bulgarian,2
Amharic,2
Latvian,2
Kurdish,2
"Pashto, Pushto",2
Norwegian Bokmål,2
Assamese,2
Afrikaans,2
"Bengali, Bangla",2
Bambara,2
No spoken language,2
Galician,2
Bosnian,2
Lithuanian,1
Malay,1
Kinyarwanda,1
Lao,1
Swahili,1
Slovak,1
Slovene,1
Yiddish,1
Albanian,1
"Tibetan Standard, Tibetan, Central",1
Kannada,1
Xhosa,1
Akan,1
Macedonian,1
Southern Sotho,1
Mongolian,1
Latin,1
Inuktitut,1
Marathi (Marāṭhī),1
Khmer,1
